,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
14090,58,management,married,university.degree,unknown,yes,no,cellular,jul,mon,332,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
8167,44,blue-collar,single,basic.4y,no,yes,no,telephone,jun,tue,159,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
20257,51,housemaid,married,basic.4y,unknown,no,no,cellular,aug,mon,80,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36747,47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
731,48,blue-collar,married,professional.course,unknown,no,no,telephone,may,tue,207,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
576,41,admin.,divorced,high.school,no,no,no,telephone,may,tue,76,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37353,35,admin.,married,university.degree,no,no,yes,cellular,aug,tue,349,1,999,3,failure,-2.9,92.20100000000001,-31.4,0.883,5076.2,yes
21984,36,admin.,single,university.degree,no,yes,no,cellular,aug,wed,1408,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
29759,36,technician,married,basic.9y,no,yes,no,cellular,apr,mon,419,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
32770,34,technician,married,basic.9y,no,yes,no,cellular,may,mon,95,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
13956,40,retired,married,basic.4y,unknown,yes,no,cellular,jul,fri,1689,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
30172,34,technician,single,professional.course,no,yes,no,cellular,apr,thu,313,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
34140,29,admin.,married,university.degree,no,no,no,cellular,may,wed,12,5,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
36566,61,admin.,married,university.degree,unknown,yes,no,cellular,jun,wed,1076,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
26606,34,unemployed,married,high.school,no,yes,no,cellular,nov,thu,562,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
31268,36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,184,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
30040,65,retired,married,university.degree,no,no,no,cellular,apr,wed,124,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
33228,38,student,divorced,unknown,no,no,no,cellular,may,tue,244,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
35617,33,services,married,high.school,no,no,yes,cellular,may,mon,600,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
34607,28,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,933,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
32903,35,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,386,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
31867,27,technician,married,professional.course,no,no,no,cellular,may,thu,347,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
30045,52,blue-collar,married,basic.4y,no,yes,no,cellular,apr,wed,229,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
30993,48,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,862,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,yes
24234,30,services,married,university.degree,no,yes,no,cellular,nov,mon,135,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
30568,57,self-employed,married,university.degree,no,yes,no,cellular,may,mon,949,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
37588,31,entrepreneur,single,university.degree,no,yes,no,cellular,aug,fri,211,3,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
15232,50,blue-collar,married,unknown,unknown,yes,no,cellular,jul,thu,125,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
13006,28,services,married,high.school,no,yes,no,cellular,jul,tue,59,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
36116,30,technician,single,professional.course,no,no,no,cellular,may,wed,229,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,yes
40016,27,admin.,single,high.school,no,no,no,cellular,jul,thu,113,2,999,2,failure,-1.7,94.215,-40.3,0.782,4991.6,no
35563,32,management,married,university.degree,no,no,yes,cellular,may,mon,119,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
37665,33,blue-collar,divorced,basic.4y,no,yes,no,cellular,aug,tue,395,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8590000000000001,5076.2,yes
40359,58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,771,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes
37816,59,technician,married,professional.course,no,yes,no,cellular,aug,wed,210,4,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8340000000000001,5076.2,yes
16653,56,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,125,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
40015,37,admin.,single,high.school,no,no,no,cellular,jul,thu,609,2,7,3,success,-1.7,94.215,-40.3,0.782,4991.6,yes
29741,30,technician,single,university.degree,no,unknown,unknown,cellular,apr,mon,112,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
32050,28,technician,married,university.degree,no,yes,no,cellular,may,thu,201,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
36777,50,admin.,married,university.degree,no,yes,no,cellular,jun,fri,95,7,999,1,failure,-2.9,92.963,-40.8,1.268,5076.2,yes
38113,44,technician,married,professional.course,no,yes,no,cellular,sep,tue,173,1,4,1,success,-3.4,92.37899999999999,-29.8,0.755,5017.5,yes
19670,32,admin.,married,high.school,no,no,no,cellular,aug,thu,876,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
30406,61,retired,divorced,university.degree,no,no,no,cellular,apr,thu,949,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
25761,29,blue-collar,single,basic.9y,no,yes,no,cellular,nov,wed,128,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
41183,73,retired,married,professional.course,no,yes,no,cellular,nov,fri,334,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.028,4963.6,yes
10932,55,management,single,basic.4y,no,no,no,telephone,jun,wed,205,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
14629,47,housemaid,married,basic.4y,unknown,yes,no,telephone,jul,tue,159,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
33523,59,housemaid,divorced,basic.6y,unknown,yes,no,cellular,may,tue,216,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
37041,44,technician,single,professional.course,no,yes,no,cellular,jul,tue,112,2,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,no
37690,74,retired,married,university.degree,no,yes,yes,cellular,aug,wed,232,3,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,yes
1384,42,services,married,high.school,unknown,no,yes,telephone,may,thu,252,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
3808,43,blue-collar,single,basic.9y,no,yes,no,telephone,may,fri,171,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
7347,31,technician,single,university.degree,no,yes,no,telephone,may,fri,57,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
34603,39,technician,married,professional.course,no,no,no,cellular,may,thu,239,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
30076,50,admin.,married,university.degree,no,yes,no,cellular,apr,fri,160,1,999,0,nonexistent,-1.8,93.075,-47.1,1.4,5099.1,yes
33314,34,blue-collar,divorced,basic.9y,unknown,yes,no,cellular,may,tue,326,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
36805,46,admin.,divorced,high.school,no,yes,no,cellular,jun,mon,372,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
28488,26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,184,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
36334,40,admin.,single,high.school,no,yes,no,cellular,jun,tue,145,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
18986,54,technician,married,university.degree,no,yes,no,telephone,aug,mon,652,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes
25796,31,blue-collar,married,basic.9y,no,no,no,cellular,nov,wed,96,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
20427,51,management,married,high.school,no,no,no,cellular,aug,tue,121,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1843,52,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,346,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
22783,60,retired,married,unknown,no,yes,no,cellular,aug,mon,600,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
17313,39,admin.,married,university.degree,no,no,no,cellular,jul,fri,653,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
39454,48,admin.,married,university.degree,no,yes,no,cellular,apr,thu,141,1,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,yes
38127,70,retired,divorced,university.degree,no,yes,no,cellular,sep,fri,692,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.741,5017.5,yes
14222,33,entrepreneur,married,university.degree,no,yes,no,cellular,jul,mon,766,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
36811,29,admin.,single,high.school,no,yes,no,cellular,jun,mon,415,1,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
13487,40,blue-collar,married,basic.4y,unknown,yes,yes,cellular,jul,thu,181,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
30036,57,management,divorced,unknown,no,no,no,cellular,apr,wed,279,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
37753,54,admin.,married,university.degree,no,yes,no,cellular,aug,fri,91,2,3,1,success,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2,yes
26999,30,blue-collar,married,high.school,no,yes,yes,cellular,nov,thu,2453,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
16553,36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,297,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
12273,57,housemaid,married,basic.4y,no,yes,no,telephone,jul,thu,381,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,no
39324,29,admin.,single,university.degree,no,yes,no,cellular,mar,mon,215,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes
27664,51,blue-collar,married,high.school,no,no,no,cellular,nov,fri,11,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
31908,36,services,married,high.school,no,no,no,cellular,may,thu,227,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
34036,33,admin.,single,university.degree,no,yes,no,cellular,may,wed,484,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
16554,50,housemaid,married,unknown,no,yes,no,cellular,jul,wed,58,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
14793,49,blue-collar,divorced,unknown,unknown,no,no,cellular,jul,wed,339,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
40329,31,student,single,unknown,no,yes,no,cellular,aug,mon,868,3,18,3,failure,-1.7,94.027,-38.3,0.898,4991.6,yes
5335,40,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,242,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
13131,31,services,married,basic.9y,no,yes,no,cellular,jul,wed,537,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
5225,39,management,married,university.degree,no,yes,yes,telephone,may,fri,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37987,45,admin.,married,university.degree,no,no,no,cellular,sep,mon,351,1,3,2,success,-3.4,92.37899999999999,-29.8,0.797,5017.5,yes
12858,34,admin.,married,university.degree,no,no,no,cellular,jul,tue,145,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
2906,26,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,389,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
38275,33,unemployed,married,high.school,no,yes,yes,cellular,oct,tue,301,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,yes
34580,28,management,single,basic.9y,no,yes,no,cellular,may,thu,106,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
25526,41,services,divorced,high.school,no,yes,no,cellular,nov,wed,296,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
39537,52,admin.,married,unknown,no,yes,no,cellular,apr,wed,184,2,10,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
40932,27,blue-collar,single,high.school,no,no,no,cellular,oct,tue,253,1,999,2,failure,-1.1,94.601,-49.5,0.982,4963.6,yes
40030,48,admin.,single,university.degree,no,yes,no,cellular,jul,fri,194,2,3,1,success,-1.7,94.215,-40.3,0.79,4991.6,yes
38398,60,technician,married,basic.4y,no,yes,no,cellular,oct,tue,595,2,6,1,success,-3.4,92.431,-26.9,0.737,5017.5,yes
2338,37,technician,single,university.degree,no,yes,no,telephone,may,tue,370,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
6684,32,technician,single,university.degree,no,yes,no,telephone,may,wed,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38805,26,blue-collar,single,high.school,no,yes,no,telephone,nov,fri,208,2,3,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
34301,44,services,divorced,high.school,no,yes,no,cellular,may,thu,533,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
5744,31,management,married,university.degree,no,no,no,telephone,may,mon,100,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
482,42,retired,married,basic.4y,no,no,no,telephone,may,tue,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29381,34,technician,divorced,professional.course,no,yes,yes,cellular,apr,fri,180,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
16209,27,admin.,single,university.degree,unknown,no,no,cellular,jul,tue,128,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
11306,26,unknown,single,high.school,unknown,no,no,telephone,jun,thu,237,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
26273,34,technician,married,high.school,no,no,no,cellular,nov,thu,732,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
38882,40,technician,single,university.degree,no,no,no,cellular,nov,mon,984,5,999,0,nonexistent,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
39380,27,admin.,single,university.degree,no,yes,no,cellular,mar,tue,359,1,999,1,failure,-1.8,93.369,-34.8,0.635,5008.7,yes
3506,30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
35829,40,technician,single,professional.course,no,yes,no,cellular,may,fri,317,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,yes
32359,45,technician,married,basic.9y,no,no,no,cellular,may,fri,144,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
30477,25,technician,unknown,university.degree,no,yes,no,cellular,may,mon,346,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,no
28484,30,admin.,single,university.degree,no,no,yes,cellular,apr,tue,505,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
38760,40,services,married,high.school,no,yes,no,cellular,nov,thu,90,3,3,2,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
10730,36,self-employed,married,university.degree,no,yes,no,telephone,jun,tue,134,7,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
22365,50,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,129,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
16078,56,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,1545,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
33884,31,admin.,married,high.school,no,yes,no,cellular,may,wed,476,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,yes
40487,33,admin.,married,university.degree,no,yes,no,cellular,aug,thu,265,1,3,3,success,-1.7,94.027,-38.3,0.899,4991.6,yes
24900,32,blue-collar,married,basic.4y,no,no,no,cellular,nov,tue,132,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
36950,45,admin.,married,university.degree,no,no,no,cellular,jul,thu,252,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,yes
30828,47,entrepreneur,married,unknown,unknown,yes,no,telephone,may,tue,22,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
39213,49,blue-collar,married,basic.9y,unknown,no,no,cellular,mar,mon,301,1,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
32147,36,blue-collar,married,high.school,no,yes,no,cellular,may,fri,154,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
38237,42,management,single,university.degree,no,yes,no,cellular,oct,mon,105,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,yes
34620,51,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,668,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
6701,31,technician,married,professional.course,no,no,no,telephone,may,wed,89,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
5431,39,technician,married,professional.course,no,yes,no,telephone,may,fri,75,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4223,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
5415,46,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,1392,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
11508,37,services,single,university.degree,no,no,no,telephone,jun,fri,160,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
26349,38,entrepreneur,married,basic.9y,no,no,no,cellular,nov,thu,158,5,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
11417,45,admin.,married,basic.9y,unknown,no,no,telephone,jun,fri,973,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
18147,52,admin.,married,basic.9y,no,no,no,cellular,jul,wed,1171,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
17419,53,services,married,unknown,unknown,yes,no,cellular,jul,mon,60,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
12156,45,blue-collar,married,basic.9y,no,yes,no,telephone,jul,tue,80,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.955,5228.1,no
15771,31,admin.,single,high.school,no,no,no,cellular,jul,mon,1017,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
35840,48,entrepreneur,married,university.degree,no,yes,no,cellular,may,fri,796,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,yes
36619,32,admin.,single,university.degree,no,yes,no,cellular,jun,thu,89,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
12136,41,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,mon,450,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
22726,46,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,626,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
29542,52,admin.,divorced,basic.9y,no,yes,yes,cellular,apr,mon,9,5,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
30945,43,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,tue,325,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
40557,33,technician,married,professional.course,no,yes,no,cellular,sep,wed,269,1,999,0,nonexistent,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes
30999,39,admin.,single,professional.course,no,yes,no,cellular,may,tue,209,5,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
26233,36,admin.,married,university.degree,no,no,no,telephone,nov,thu,281,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
38686,53,management,divorced,university.degree,no,no,yes,cellular,nov,fri,368,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes
8464,34,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue,60,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
23971,53,management,married,university.degree,no,no,no,telephone,aug,fri,74,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
25636,43,services,divorced,high.school,no,no,no,cellular,nov,wed,1015,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,yes
16908,48,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,107,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
39708,28,student,single,university.degree,no,unknown,unknown,cellular,may,fri,226,3,3,2,success,-1.8,93.876,-40.0,0.695,5008.7,yes
15964,32,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,mon,193,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
5720,43,entrepreneur,divorced,high.school,unknown,yes,no,telephone,may,mon,250,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2917,36,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
36413,24,unknown,single,university.degree,no,yes,yes,cellular,jun,tue,134,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
40610,30,admin.,single,high.school,no,no,no,cellular,sep,fri,219,3,6,1,success,-1.1,94.199,-37.5,0.883,4963.6,yes
2644,45,admin.,married,high.school,no,yes,no,telephone,may,tue,190,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
39730,77,retired,divorced,basic.4y,no,no,no,cellular,may,tue,393,1,999,0,nonexistent,-1.8,93.876,-40.0,0.6970000000000001,5008.7,yes
26124,36,blue-collar,married,basic.6y,unknown,yes,no,cellular,nov,wed,320,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
4698,33,management,married,high.school,unknown,no,no,telephone,may,wed,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
15029,49,self-employed,married,university.degree,no,no,no,cellular,jul,thu,114,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
40149,78,retired,married,unknown,no,yes,no,cellular,jul,wed,87,3,999,0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,yes
26029,36,entrepreneur,single,university.degree,no,no,no,cellular,nov,wed,1120,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,yes
41130,31,admin.,single,university.degree,no,yes,no,cellular,nov,thu,260,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.041,4963.6,yes
39016,32,student,married,high.school,no,yes,no,telephone,dec,wed,135,3,999,1,failure,-3.0,92.713,-33.0,0.715,5023.5,no
40154,50,management,married,university.degree,no,yes,no,cellular,jul,thu,367,1,999,0,nonexistent,-1.7,94.215,-40.3,0.846,4991.6,yes
39086,62,retired,married,university.degree,no,yes,no,cellular,dec,wed,282,1,6,1,success,-3.0,92.713,-33.0,0.706,5023.5,yes
29265,34,entrepreneur,married,university.degree,no,yes,no,cellular,apr,fri,104,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
38178,75,retired,divorced,basic.4y,unknown,yes,no,cellular,oct,thu,502,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,yes
40407,46,technician,married,professional.course,no,yes,no,cellular,aug,thu,245,2,999,4,failure,-1.7,94.027,-38.3,0.904,4991.6,yes
19636,47,management,married,university.degree,no,yes,no,cellular,aug,thu,20,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
38566,48,technician,married,high.school,no,no,yes,cellular,oct,thu,288,3,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
16024,37,admin.,married,high.school,no,no,yes,cellular,jul,tue,135,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
16841,53,blue-collar,married,unknown,unknown,unknown,unknown,telephone,jul,thu,747,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
37655,61,retired,married,university.degree,no,yes,no,cellular,aug,tue,101,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8590000000000001,5076.2,no
27870,36,admin.,married,high.school,no,yes,no,cellular,mar,thu,220,3,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.584,5099.1,yes
15514,25,blue-collar,single,basic.6y,no,no,yes,cellular,jul,fri,1127,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,yes
6392,40,blue-collar,married,high.school,unknown,no,no,telephone,may,tue,43,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38647,27,blue-collar,single,basic.9y,no,no,no,cellular,nov,tue,217,1,999,2,failure,-3.4,92.649,-30.1,0.72,5017.5,yes
23420,46,services,married,basic.9y,unknown,yes,no,cellular,aug,wed,59,5,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
40210,23,student,single,unknown,no,no,no,cellular,jul,tue,165,2,16,1,success,-1.7,94.215,-40.3,0.8759999999999999,4991.6,yes
36493,20,student,single,unknown,no,yes,no,cellular,jun,wed,213,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
37046,29,technician,married,university.degree,no,yes,no,cellular,jul,wed,896,2,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,yes
36223,27,technician,single,university.degree,no,no,no,cellular,may,thu,68,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,no
19249,31,blue-collar,single,basic.9y,no,no,no,cellular,aug,wed,38,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
2352,38,blue-collar,single,university.degree,unknown,no,no,telephone,may,tue,392,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
36560,69,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,144,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
39692,74,retired,divorced,university.degree,no,yes,no,cellular,may,tue,387,1,999,0,nonexistent,-1.8,93.876,-40.0,0.688,5008.7,yes
